GENRE;ORDER;SPECIES;QUALITY;SOURCE;INFO1;INFO2;INFO3
Cephalopoda;;Bathyteuthis;;Oba,2021;;;
Cephalopoda;;Chtenopteryx;;Oba,2021;;;
Cephalopoda;;Brachioteuthis;;Oba,2021;Brachioteuthidae;;
Cephalopoda;;Slosarczykovia;;Oba,2021;Brachioteuthidae;;
Cephalopoda;;Batoteuthis;;Oba,2021;;;
Cephalopoda;;Dosidicus;;Oba,2021;Ommastrephidae;;
Cephalopoda;;Hyaloteuthis;;Oba,2021;Ommastrephidae;;
Cephalopoda;;Ommastrephes;;Oba,2021;Ommastrephidae;;
Cephalopoda;;Ornithoteuthis;;Oba,2021;Ommastrephidae;;
Cephalopoda;;Sthenoteuthis;;Oba,2021;Ommastrephidae;;
Cephalopoda;;Chiroteuthis;;Oba,2021;Chiroteuthidae;;
Cephalopoda;;Echinoteuthis;?;Oba,2021;Chiroteuthidae;;
Cephalopoda;;Mastigoteuthis;;Oba,2021;Mastigoteuthidae;;
Cephalopoda;;Idioteuthis;;Oba,2021;Mastigoteuthidae;;
Cephalopoda;;Mastigopsis;;Oba,2021;Mastigoteuthidae;;
Cephalopoda;;Mastigotragus;;Oba,2021;Mastigoteuthidae;;
Cephalopoda;;Grimalditeuthis;?;Oba,2021;Chiroteuthidae;;
Cephalopoda;;Bathothauma;;Oba,2021;Crachiidae;;
Cephalopoda;;Cranchia;;Oba,2021;Crachiidae;;
Cephalopoda;;Enigmocranchia;;Okutani,2015;Crachiidae;;
Cephalopoda;;Egea;;Oba,2021;Crachiidae;;
Cephalopoda;;Galiteuthis;;Oba,2021;Crachiidae;;
Cephalopoda;;Helicocranchia;;Oba,2021;Crachiidae;;
Cephalopoda;;Leachia;;Oba,2021;Crachiidae;;
Cephalopoda;;Liguriella;;Oba,2021;Crachiidae;;
Cephalopoda;;Liocranchia;;Oba,2021;Crachiidae;;
Cephalopoda;;Megalocranchia;;Oba,2021;Crachiidae;;
Cephalopoda;;Mesonychoteuthis;;Oba,2021;Crachiidae;;
Cephalopoda;;Sandalops;;Oba,2021;Crachiidae;;
Cephalopoda;;Taonius;;Oba,2021;Crachiidae;;
Cephalopoda;;Teuthowenia;;Oba,2021;Crachiidae;;
Cephalopoda;Vampyromorpha;Vampyroteuthis;;Oba,2021;;;
Cephalopoda;Octopoda;Bolitaena;;Oba,2021;;;
Cephalopoda;Octopoda;Japetella;;Oba,2021;;;
Cephalopoda;Octopoda;Stauroteuthis;;Haddocketal.,2010;;;
Annelida;Polychaeta;Tomopteris;;Oba,2021;Tomopteridae;;
Annelida;Polychaeta;Odontosyllis;;Oba,2021;Syllidae;;
Annelida;Polychaeta;Pionosyllis;;Oba,2021;Syllidae;;
Annelida;Polychaeta;Eusyllis;;A.foliosus(RaymondandDevries,1976);Syllidae;;
Annelida;Polychaeta;Aglaophamus;;Oba,2021;Nephtyidae;;
Annelida;Polychaeta;Acholoe;;Oba,2021;Polynoidae;;
