"Group" "Concept" "Biolum" "Habitat"
"38582" "Scyphozoa" "Periphyllopsis" "bioluminescent" "pelagic"
"39459" "Hydromedusae" "Bythotiara" "bioluminescent" "pelagic"
"40002" "Hydromedusae" "Colobonema" "bioluminescent" "pelagic"
"40195" "Hydromedusae" "Euphysora" "bioluminescent" "pelagic"
"40222" "Appendicularia" "Fritillariidae" "unlikely" "pelagic"
"40415" "Siphonophora" "Lilyopsis fluoracantha" "bioluminescent" "pelagic"
"40673" "Thaliacea" "Pseudusa bostigrinus" "bioluminescent" "pelagic"
"41074" "Annelida" "Tomopteridae" "bioluminescent" "pelagic"
"41231" "Hydromedusae" "Aeginidae" "bioluminescent" "pelagic"
"41232" "Hydromedusae" "Aeginura grimaldii" "bioluminescent" "pelagic"
"41236" "Annelida" "Annelida" "undefined" "pelagic"
"41682" "Pteropoda" "Clio polita" "non-bioluminescent" "pelagic"
"41910" "Siphonophora" "Lensia multicristata" "bioluminescent" "pelagic"
"42180" "Fishes" "Nemichthyidae" "undefined" "pelagic"
"42470" "Fishes" "Scopelarchidae" "undefined" "pelagic"
"42471" "Fishes" "Serrivomer sector" "non-bioluminescent" "pelagic"
"42551" "Annelida" "Swima" "bioluminescent" "pelagic"
"42566" "Hydromedusae" "Trachymedusae" "bioluminescent" "pelagic"
"42882" "Appendicularia" "Bathochordaeinae" "unlikely" "pelagic"
"43933" "Cephalopoda" "Planctoteuthis" "bioluminescent" "pelagic"
"45620" "Fishes" "Zoarcidae" "unlikely" "benthic"
"46642" "Fishes" "Coryphaenoides leptolepis" "undefined" "benthic"
"46745" "Scyphozoa" "Deepstaria enigmatica" "undefined" "pelagic"
"46960" "Crustacea" "Gnathophausia" "bioluminescent" "pelagic"
"47057" "Cephalopoda" "Japetella diaphana" "bioluminescent" "pelagic"
"47413" "Crustacea" "Nebaliopsis" "non-bioluminescent" "pelagic"
"47419" "Fishes" "Ophidiiformes" "undefined" "benthic"
"47420" "Crustacea" "Pandalidae" "undefined" "benthic"
"48105" "Fishes" "Serrivomer" "non-bioluminescent" "pelagic"
"48109" "Hydromedusae" "Sminthea" "bioluminescent" "pelagic"
"48346" "Fishes" "Spectrunculus grandis" "undefined" "benthic"
"48429" "Rhizaria" "Tuscaretta" "bioluminescent" "pelagic"
"48652" "Scyphozoa" "Atorella" "bioluminescent" "pelagic"
"49031" "Fishes" "Coryphaenoides filifer" "undefined" "benthic"
"49847" "Siphonophora" "Stephanomia amphytridis " "bioluminescent" "pelagic"
"49982" "Fishes" "Alepocephalidae" "undefined" "benthic"
"50587" "Siphonophora" "Lensia achilles" "bioluminescent" "pelagic"
"51861" "Siphonophora" "Erenna cornuta" "bioluminescent" "pelagic"
"52611" "Fishes" "Stomiidae" "bioluminescent" "pelagic"
"52975" "Hydromedusae" "Annatiara" "bioluminescent" "pelagic"
"52978" "Crustacea" "Anomura" "undefined" "benthic"
"54104" "Siphonophora" "Erenna laciniata" "bioluminescent" "pelagic"
"54824" "Crustacea" "Nebalia" "non-bioluminescent" "pelagic"
"54830" "Hydromedusae" "Octogonade" "bioluminescent" "pelagic"
"55272" "Thaliacea" "Pyrosoma" "bioluminescent" "pelagic"
"55608" "Fishes" "Anguilliformes" "undefined" "pelagic"
"56172" "Hydromedusae" "Benthocodon" "likely" "benthic"
"57087" "Hydromedusae" "Liriope tetraphylla" "bioluminescent" "pelagic"
"57975" "Rhizaria" "Phaeodaria" "bioluminescent" "pelagic"
"58611" "Hydromedusae" "Tiaropsidium kelseyi" "bioluminescent" "pelagic"
"58685" "Crustacea" "Acanthamunnopsis" "non-bioluminescent" "pelagic"
"58988" "Fishes" "Argyropelecus" "bioluminescent" "pelagic"
"59515" "Cephalopoda" "Cirrothauma murrayi" "undefined" "pelagic"
"59660" "Crustacea" "Cystisoma magna" "non-bioluminescent" "pelagic"
"59991" "Cephalopoda" "Grimpoteuthis sp. 5" "undefined" "pelagic"
"60037" "Fishes" "Idiacanthus antrostomus" "bioluminescent" "pelagic"
"60515" "Crustacea" "Paramunnopsis" "non-bioluminescent" "pelagic"
"60516" "Crustacea" "Paraphronima" "non-bioluminescent" "pelagic"
"60552" "Crustacea" "Phronima" "non-bioluminescent" "pelagic"
"60861" "Siphonophora" "Resomia" "bioluminescent" "pelagic"
"60886" "Hydromedusae" "Rhopalonema velatum" "bioluminescent" "pelagic"
"61027" "Annelida" "Swima bombiviridis" "bioluminescent" "pelagic"
"61028" "Annelida" "Swima fulgida" "bioluminescent" "pelagic"
"62290" "Ctenophora" "Cestum veneris" "bioluminescent" "pelagic"
"62712" "Siphonophora" "Clausophyes tropica" "bioluminescent" "pelagic"
"62747" "Siphonophora" "Crystallophyes" "bioluminescent" "pelagic"
"62751" "Hydromedusae" "Cuninidae" "bioluminescent" "pelagic"
"63322" "Chaetognatha" "Heterokrohnia" "non-bioluminescent" "pelagic"
"63428" "Annelida" "Lopadorhynchidae" "undefined" "pelagic"
"63444" "Fishes" "Macropinna microstoma" "undefined" "pelagic"
"64188" "Siphonophora" "Physonectae sp. 1" "bioluminescent" "pelagic"
"64827" "Thaliacea" "Salpa" "non-bioluminescent" "pelagic"
"64828" "Thaliacea" "Salpa fusiformis" "non-bioluminescent" "pelagic"
"65281" "Fishes" "Trachipterus altivelis" "undefined" "pelagic"
"66541" "Crustacea" "Euphausia 2" "bioluminescent" "pelagic"
"66632" "Fishes" "Lampanyctus" "bioluminescent" "pelagic"
"66928" "Hydromedusae" "Pegantha" "bioluminescent" "pelagic"
"67008" "Cephalopoda" "Planctoteuthis oligobessa" "undefined" "pelagic"
"67429" "Thaliacea" "Thaliacea" "undefined" "pelagic"
"68388" "Cephalopoda" "Benthoctopus" "non-bioluminescent" "benthic"
"71315" "Hydromedusae" "Aglantha" "bioluminescent" "pelagic"
"74119" "Pteropoda" "Clio" "non-bioluminescent" "pelagic"
"76118" "Fishes" "Microstomus pacificus" "undefined" "benthic"
"76822" "Fishes" "Anoplogaster cornuta" "undefined" "pelagic"
"76834" "Siphonophora" "Apolemia rubriversa" "bioluminescent" "pelagic"
"78635" "Hydromedusae" "Liriope" "bioluminescent" "pelagic"
"79177" "Cephalopoda" "Octopoteuthis deletron" "bioluminescent" "pelagic"
"79573" "Siphonophora" "Rudjakovia" "likely" "pelagic"
"81467" "Ctenophora" "Bathyctena" "bioluminescent" "pelagic"
"81743" "Pteropoda" "Carinaria japonica" "non-bioluminescent" "pelagic"
"82315" "Pteropoda" "Corolla" "non-bioluminescent" "pelagic"
"83676" "Pteropoda" "Mollusca" "undefined" "benthic"
"83677" "Crustacea" "Munidopsidae" "non-bioluminescent" "benthic"
"84996" "Thaliacea" "Salpa maxima" "non-bioluminescent" "pelagic"
"85492" "Crustacea" "Streetsia" "undefined" "pelagic"
"85613" "Pteropoda" "Thecosomata" "non-bioluminescent" "pelagic"
"87018" "Fishes" "Argyropelecus affinis" "bioluminescent" "pelagic"
"88027" "Crustacea" "Lanceola" "non-bioluminescent" "pelagic"
"89042" "Siphonophora" "Resomia dunni " "bioluminescent" "pelagic"
"91619" "Hydromedusae" "Crossota rufobrunnea" "bioluminescent" "pelagic"
"96122" "Hydromedusae" "Calycopsis" "bioluminescent" "pelagic"
"98709" "Siphonophora" "Lilyopsis" "bioluminescent" "pelagic"
"99637" "Hydromedusae" "Pandea" "undefined" "pelagic"
"100660" "Chaetognatha" "Solidosagitta zetesios" "non-bioluminescent" "pelagic"
"102690" "Siphonophora" "Halistemma" "bioluminescent" "pelagic"
"103910" "Cephalopoda" "Octopus rubescens" "non-bioluminescent" "benthic"
"103969" "Crustacea" "Lanceoloidea" "non-bioluminescent" "pelagic"
"103975" "Crustacea" "Mysidacea" "undefined" "pelagic"
"103989" "Rhizaria" "Tuscarilla" "bioluminescent" "pelagic"
"103998" "Fishes" "Avocettina" "undefined" "pelagic"
"104094" "Fishes" "Melamphaes" "undefined" "pelagic"
"104105" "Crustacea" "Scina" "bioluminescent" "pelagic"
"104147" "Cephalopoda" "Haliphron atlanticus" "undefined" "pelagic"
"104155" "Siphonophora" "Nectadamas " "bioluminescent" "pelagic"
"104165" "Hydromedusae" "Aglaura" "bioluminescent" "pelagic"
"104211" "Hydromedusae" "Hydrozoa" "undefined" "pelagic"
"104268" "Fishes" "Merlucciidae" "non-bioluminescent" "pelagic"
"104311" "Siphonophora" "Rudjakovia plicata" "bioluminescent" "pelagic"
"104348" "Appendicularia" "Bathochordaeus stygius" "unlikely" "pelagic"
"104365" "Fishes" "Leuroglossus" "unlikely" "pelagic"
"104386" "Siphonophora" "Physophora gilmeri" "non-bioluminescent" "pelagic"
"104428" "Crustacea" "Cyphocaris" "bioluminescent" "pelagic"
